address,gmap_id,latitude,longitude,avg_rating,avg_rating_correction,distance,ml_category,rating_final,score_inm,user_pref,inmueble,inmuser_id
inmueble,,34.058092,-118.29213,,,,,,8.889999999999997,user_pref_1,inmueble_1,u1i1
"847 S Vermont Ave Parking, 3038W W 8th St, Los Angeles, CA 90005",0x80c2c77897fffa8b:0x5c2904deb5734e19,34.0564278,-118.2918014,3.0,,200.0,bien,3.0,8.889999999999997,user_pref_1,inmueble_1,u1i1
"mirae medical clinic, 2675 W Olympic Blvd #202, Los Angeles, CA 90006",0x80c2c783a0bd3031:0x117bf83e39fbd829,34.0526695,-118.2906341,3.5,,600.0,bien,3.5,8.889999999999997,user_pref_1,inmueble_1,u1i1
"Wi Spa Customer Parking, 2701W 7th St, Los Angeles, CA 90057",0x80c2c77667d9201b:0x4f286f8fc3438bca,34.0600113,-118.2832386,3.0,,800.0,bien,3.0,8.889999999999997,user_pref_1,inmueble_1,u1i1
"Subway, 3323 Wilshire Blvd Ground Floor, Los Angeles, CA 90010",0x80c2c77c6a3968f1:0xee3b615679d47cdf,34.0619708,-118.2950655,3.8,3.9204545454545454,500.0,res,3.9204545454545454,8.889999999999997,user_pref_1,inmueble_1,u1i1
"Orange Tree Cafe, 3500 W 6th St, Los Angeles, CA 90010",0x80c2c77d5c06fd19:0xfa9109c7f6fd173f,34.0631398,-118.2985998,4.3,,800.0,res,4.3,8.889999999999997,user_pref_1,inmueble_1,u1i1
"Deli-In Snack Shop, 3456 Wilshire Blvd, Los Angeles, CA 90010",0x80c2b88280c0b541:0x5375db2c95eb9e88,34.0612779,-118.2997547,4.2,,800.0,res,4.2,8.889999999999997,user_pref_1,inmueble_1,u1i1
"Samsung Care Pharmacy, 2717 W Olympic Blvd #105, Los Angeles, CA 90006",0x80c2c783cb749e07:0x5a12f305d0d06f10,34.0530897,-118.2924087,4.0,,600.0,bien,4.0,8.889999999999997,user_pref_1,inmueble_1,u1i1
"Los Angeles Drugs, 3030 W Olympic Blvd, Los Angeles, CA 90006",0x80c2b87fb86cf8d3:0xb029ab8aff7f37f,34.0524771,-118.3012323,4.8,,1000.0,bien,4.8,8.889999999999997,user_pref_1,inmueble_1,u1i1
"Felipe De Neve Branch Library, 2820 W 6th St, Los Angeles, CA 90057",0x80c2c7714a9a36d5:0x3c2bac0f64c68269,34.0633129,-118.2839711,4.5,4.931034482758621,1000.0,rec,4.931034482758621,8.889999999999997,user_pref_1,inmueble_1,u1i1
"Fire Chicken, 3128 W 8th St, Los Angeles, CA 90005",0x80c2c7235173c87f:0xb57e3339e8b835e7,34.0574813,-118.2952479,4.6,4.705882352941177,300.0,res,4.705882352941177,8.889999999999997,user_pref_1,inmueble_1,u1i1
"walgreens, 3201 W 6th St, Los Angeles, CA 90020",0x80c2c77b133fffff:0xfaa5900b2e422ad,34.0644891,-118.2918977,3.5,,700.0,bien,3.5,8.889999999999997,user_pref_1,inmueble_1,u1i1
"Subway, 1101 S Vermont Ave #112, Los Angeles, CA 90006",0x80c2c78476449a47:0xc2c0859f53b696b7,34.0502554,-118.2919465,3.9,4.357142857142857,900.0,res,4.357142857142857,8.889999999999997,user_pref_1,inmueble_1,u1i1
"Wilfit Sports Club, 3470 Wilshire Blvd #100, Los Angeles, CA 90010",0x80c2b8828722d81b:0x6d0dac47888b9d0,34.060895599999995,-118.3004315,4.4,4.702702702702703,800.0,bien,4.702702702702703,8.889999999999997,user_pref_1,inmueble_1,u1i1
"The Great Steak & Potato Company, 3183 Wilshire Blvd, Los Angeles, CA 90010",0x80c2c77bcd8e5fa5:0x5f590a1c77cdb65f,34.0624616,-118.2908319,4.5,,500.0,res,4.5,8.889999999999997,user_pref_1,inmueble_1,u1i1
"Subway, 3183 Wilshire Blvd Space #184, Los Angeles, CA 90010",0x80c2c77a2c02c987:0x18178ba650690ca6,34.0619855,-118.2903729,3.7,3.9375,500.0,res,3.9375,8.889999999999997,user_pref_1,inmueble_1,u1i1
"Daniel Chang Neurology, 500 S Virgil Ave #503, Los Angeles, CA 90020",0x80c2c7708a488767:0xc027704960e00511,34.0649729,-118.2866409,2.9,,900.0,bien,2.9,8.889999999999997,user_pref_1,inmueble_1,u1i1
"Won Buddhism Los Angelas, 401 Shatto Pl, Los Angeles, CA 90020",0x80c2c7652bbc3b61:0x227c135819cd461a,34.0667487,-118.2903464,4.7,,1000.0,rel,4.7,8.889999999999997,user_pref_1,inmueble_1,u1i1
"Taco Bell, 3029 W 8th St, Los Angeles, CA 90005, United States",0x80c2c778dae299ab:0xe2cc41ad0a0a5b6c,34.0579907,-118.2925666,4.0,4.047664442326025,0.0,res,4.047664442326025,8.889999999999997,user_pref_1,inmueble_1,u1i1
"The Pollo L.A., 3183 Wilshire Blvd #172, Los Angeles, CA 90010, United States",0x80c2c77dfa03499f:0x7598bae048a77d6c,34.0626543,-118.2910829,4.7,4.472222222222222,500.0,res,4.472222222222222,8.889999999999997,user_pref_1,inmueble_1,u1i1
"TOGO'S Sandwiches, South Normandie Avenue, at, 3462 Wilshire Blvd, Los Angeles, CA 90010",0x80c2b88280cca175:0x5f9d5644e65a3315,34.061459,-118.300215,4.3,4.476190476190476,800.0,res,4.476190476190476,8.889999999999997,user_pref_1,inmueble_1,u1i1
"Central Plaza Parking Garage, 3470 Wilshire Blvd, Los Angeles, CA 90010",0x80c2c77d8b65584b:0x85c2ac6640210120,34.060634799999995,-118.2991146,3.7,3.935483870967742,700.0,bien,3.935483870967742,8.889999999999997,user_pref_1,inmueble_1,u1i1
"Song Jeho Table Tennis Club, 1049 S Grand View St, Los Angeles, CA 90006",0x80c2c79bc3cb7cb9:0x7f37b0b9e74e0896,34.051587999999995,-118.2829269,4.6,4.484848484848484,1100.0,bien,4.484848484848484,8.889999999999997,user_pref_1,inmueble_1,u1i1
"Chifa Chinese Food Express, 754 Vermont Ave, Los Angeles, CA 90005",0x80c2c778e3671769:0x89c60a7b4c435e1b,34.058277,-118.291429,3.4,3.375,100.0,res,3.375,8.889999999999997,user_pref_1,inmueble_1,u1i1
"Michindak, 3324 W 6th St, Los Angeles, CA 90020",0x80c2c7628260c469:0xaec88fd0a3ce28f3,34.06344,-118.2952237,4.4,,700.0,res,4.4,8.889999999999997,user_pref_1,inmueble_1,u1i1
