review_id,user_id,business_id,stars,useful,funny,cool,text,date
OSQp1mj4D5QE52CsLgLInA,0jfN6l7MEbtPMiQUDrGrEQ,bw90rjFL02A_8rVE34m5Lg,1,4,0,0,"I seen this ad and thought what a cute name, i called for appointment and to verify if they accepted my insurance, the girl was not able to answer, so i figure I'd  go anyway, i was treated very nice and was advised they can give me a free consultation but in fact it was not free they get you into the room and than tell you they must charge.. so where the free consultation, i got up and walked out. Never going back",2017-04-30 05:11:55
jLC19WXfH6PbjdSoDWTFBQ,IyyCOJvDWi8plDweD2NNew,bw90rjFL02A_8rVE34m5Lg,5,0,0,0,Excellent service from the moment you walk through the door. With the staff at the front to help you or explain things to you.  The doctors are great and listen and remember your preferences.   Not finished I still have a couple more weeks but I really notice it in my back and the ease of getting out of my car and walking.,2018-06-22 01:52:50
AJru-tW2xkAHmjO2P4pxSg,QCXjsqkpj_3wu1j5n1gDRQ,bw90rjFL02A_8rVE34m5Lg,5,1,0,0,I have had the pleasure of getting to know these Drs. over the last few years and I can honestly say they are 2 of the most genuine people you will ever meet. They focus so much on bettering the community around them and that is hard to find. On top of that they are a family based practice so people of all ages are welcomed with open arms. I highly recommend you check out this practice and see for yourself the difference real caring for patients makes in peoples lives!,2017-04-10 13:43:35
baCB-c3b-yikjc__2aLORw,k3J80RDBk7ARn1ubmksE7Q,bw90rjFL02A_8rVE34m5Lg,5,1,0,0,Dr. Sherry and Dr. Richard are top notch!  Their entire team is very friendly and really seem to care about their patient's overall health.  I really like the detail they go into when explaining what they actually do in their office.  They even give you a tour of the office so you know where everything is.  I like that I know what to expect on each visit and there are no surprises.,2017-04-13 16:58:14
1rjuhvzxlkQ3sugo4gC2eQ,VRnkMvHTVb62YqAHEw2TIA,bw90rjFL02A_8rVE34m5Lg,4,0,0,0,"After my review, Dr Rosado took it upon himself to resolve my problem. He contacted me and explained the issues he has had will his billing companies and he wasn't aware of my situation. He did issue me a refund for the difference I was missing.",2018-11-27 01:58:30
uofnRxjiQV94dl1elGhtzw,hjApCn5oMYY_AfLKRtSGbQ,bw90rjFL02A_8rVE34m5Lg,1,15,0,1,"I am reticent to write this review but I really feel like anyone considering visiting this practice should know this.  Its been bugging me constantly over the past 24 hours.  I've moved around a lot for work and so have a lot of experience going to different chiropractors.  I totally believe in the benefits.  I have not received treatment at this facility so in no way do I have anything to say about the quality of the care itself or the passion the DCs have for their work.  The staff in the front was very nice and kind.  The technology is cool and convenient.

That said, this practice is clearly the brainchild of a chiropractor and a timeshare salesperson.  I don't have anything against sales.  I am on the buying end dealing with vendor sales reps everyday for work and everyone needs to make a living.  Where I draw the line is in high pressure sales tactics, being deceitful and making a patient uncomfortable when they say multiple times that they want to consider the enormous investment before committing.  I don't like being pressured to finance treatment when I have already stated clearly 3x that financing is not the issue and I don't need it.  Never in a million years did I think that going for any type of medical procedure would I walk out feeling like I almost got scammed.

What I also didn't like is they tell you it's extremely important to bring your family to the mandatory info session.  It was completely unnecessary for me to bring my overtired toddler and husband to a 7pm 1+ hour presentation on a procedure I've had basically my entire life.  After doing this, I am quite confident they just instruct this in order to remove any possible barrier in the patient saying no to the expensive treatment plan.

What really did it for me is that they made me give my insurance info at the first visit (for which i had purchased a voucher separately), stating that they would check my insurance and present it with the treatment plan at the info session.  My insurance was never even mentioned in the plan, nor reduced off the fee, nor noted in the number of visits.  When I asked, I was told that my insurance only covered 5 visits per year, which didn't sound right to me.  I checked when I returned home and I am covered for 20 visits per year.  I assure you they never even checked my insurance.  They also blast music into the rooms so you can't even hear what the sales person is saying...maybe that's strategic.

The entire experience felt really icky to me and my husband was also, separately, very uncomfortable, even before I went into the diagnosis/sales room by myself (my kid was a complete disaster 45 mins into this so my husband had to leave).

I spent about $40 between the initial visit voucher and xrays (which you have to pay extra to get a copy of by the way) plus about 3 hours of my valuable time wasted just to walk away never even receiving a single treatment!  It's unfortunate because I really wanted to get the treatment but I don't trust this place at all. They may be Christians but it seems like they're on the 'prosperity doctrine' train rather than the Jesus one.  Beware of timeshare scammer sales tactics before you go.",2017-10-19 02:49:21
rEVhqbDE_ou9GCd5ExGW_g,38pBnUkOJkIJykMKkRahaA,bw90rjFL02A_8rVE34m5Lg,5,0,0,0,The atmosphere was very pleasant and everyone was very friendly.  I enjoyed myself . They always are very helpful and make you feel at home,2018-10-20 23:10:05
qn9rnbwnJSgCHuVF8VtPVg,aVkcE9ldp1DnlOAofybfkQ,bw90rjFL02A_8rVE34m5Lg,5,5,3,5,"So I have experienced back pain for many years and wasn't sure what to make of it. Every time I complained about the pain, those around me would make me feel like it wasn't a big deal or would make remarks like ""you're too young to know what that is"". So needless to say, I never did anything about it for a really long time. 

Until recently, the pain became quite unbearable. Simple things like sleeping, driving, and even getting out of bed, irritated me. I knew I needed to see a chiropractor, but when was the question. Over the summer, I went to an event with my aunt at the Fruit and Spice park in the redlands, and came across a vendor table and rep, for New Leaf Chiropractic. After speaking with the rep, she did a quick analysis on my neck, and the results were pretty alarming. I ended up paying to get a consultation done at the office. 

At the consultation, I met with Dr. Richard Rosado. After describing the pain I was in, and his analysis, we then did X-rays. This involved coming back in another day to give him a chance to review them. After seeing the X-rays, I knew my neck and spine were not in good shape, especially for someone my age, and this even affected my hips, leaving one leg to feel shorter than the other. Thankfully I was still in a stage in which it could be corrected with time, and I wouldn't need surgery. 

I was given a treatment plan, and explained the different costs. Now, is it costly? Yes. But what does that mean, that your well-being isn't worth it? I've read many reviews complaining about the prices and so on and so far. By no means am I telling you to spend the money here, and that this is the only place to go. Do your research, absolutely. But after I met with the doctor and saw the establishment, I felt this was the place for me. It's also worth mentioning that they do their best to work with you and the payment plan. The staff is welcoming, friendly, and helpful. I can see the sense of community here and I always feel comfortable when coming. 

I have been coming to this practice now for 2 months, and have a few more treatments left before the end of this treatment plan. My back has been feeling much better. I haven't felt pain when driving, my sleep is better, and I'm not in pain getting out of bed. Now, is my spine and neck issue completely gone? No. But I am well aware that this will take time. It entails utilizing the exercises they have shown me, as well as being conscious of my posture, and the way that I sleep in bed. All in all, I am very pleased with my current results, and look forward to continuing the treatment.",2019-04-02 20:14:25
Y6PjlDLoZ2F4p9rHctouuA,VRnkMvHTVb62YqAHEw2TIA,bw90rjFL02A_8rVE34m5Lg,1,0,0,0,This chiropractor was great at providing great service but unfortunately are horrible at their billing services. I signed up and had to pay up front $1500 for services to myself and daughter. I have health insurance but they stated my insurance wouldn't cover. Well after a few months I decided to cancel their services and requested a refund. Not only did they have me going back and forward with them so they could issue me a refund but I'm still missing $153. So apparently my insurance did cover their services and paid them all my visits. I was only responsible for $90. Now I have been calling them and they don't return my calls and if they do they say I owe them for three visits that they never send to my insurance. I never leave feedback but I feel I need to in this case cause they are overcharging customers and get paid twice. By the customer and insurance.,2018-11-07 15:28:58
npIiVQ9EXoS3SvMH7mwN3A,JhKEO7PkhR6nFFpFkDcHJA,bw90rjFL02A_8rVE34m5Lg,5,1,0,0,Have had great experience with New Leaf and their staff and very professional. Just started my therapy but already feel some improvement with the pain and stiffness. Great Care!,2018-05-14 17:49:01
